period,period_version,is_active,title,source_url,document_date,discovered_at_utc,error
201211,1,True,11/2012,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201211BANCOS.ZIP,2012-11-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201210,1,True,10/2012,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201210BANCOS.ZIP,2012-10-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201209,1,True,09/2012,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201209BANCOS.ZIP,2012-09-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201208,1,True,08/2012,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201208BANCOS.ZIP,2012-08-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201207,1,True,07/2012,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201207BANCOS.ZIP,2012-07-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201206,1,True,06/2012,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201206BANCOS.ZIP,2012-06-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201205,1,True,05/2012,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201205BANCOS.ZIP,2012-05-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201204,1,True,04/2012,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201204BANCOS.ZIP,2012-04-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201203,1,True,03/2012,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201203BANCOS.ZIP,2012-03-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201202,1,True,02/2012,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201202BANCOS.ZIP,2012-02-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201201,1,True,01/2012,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201201BANCOS.ZIP,2012-01-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201112,1,True,12/2011,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201112BANCOS.ZIP,2011-12-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201111,1,True,11/2011,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201111BANCOS.ZIP,2011-11-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201110,1,True,10/2011,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201110BANCOS.ZIP,2011-10-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201109,1,True,09/2011,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201109BANCOS.ZIP,2011-09-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201108,1,True,08/2011,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201108BANCOS.ZIP,2011-08-01T03:00:00Z,2026-08-10T23:53:12+00:00,
